Nombre Sección,Sección,Total,censo,votos_total,Participación
Donostia/San Sebastián sección 04008,06904008,15675.0,1320.0,801.0,0.6068181818181818
Donostia/San Sebastián sección 04009,06904009,16303.0,842.0,516.0,0.6128266033254157
Donostia/San Sebastián sección 04010,06904010,15867.0,1433.0,1043.0,0.7278436845778088
Donostia/San Sebastián sección 04011,06904011,16543.0,855.0,601.0,0.7029239766081872
Donostia/San Sebastián sección 04012,06904012,16942.0,1036.0,703.0,0.6785714285714286
Donostia/San Sebastián sección 04013,06904013,17763.0,1380.0,960.0,0.6956521739130435
Donostia/San Sebastián sección 04014,06904014,17172.0,1264.0,792.0,0.6265822784810127
Donostia/San Sebastián sección 04015,06904015,13762.0,962.0,615.0,0.6392931392931392
Donostia/San Sebastián sección 04016,06904016,13429.0,639.0,392.0,0.6134585289514867
Donostia/San Sebastián sección 04017,06904017,14987.0,1036.0,667.0,0.6438223938223938
Donostia/San Sebastián sección 04018,06904018,15415.0,1118.0,780.0,0.6976744186046512
Donostia/San Sebastián sección 04019,06904019,18433.0,707.0,488.0,0.6902404526166902
Donostia/San Sebastián sección 04020,06904020,12578.0,788.0,468.0,0.5939086294416244
Donostia/San Sebastián sección 05001,06905001,24004.0,861.0,637.0,0.7398373983739838
Donostia/San Sebastián sección 05002,06905002,20484.0,1102.0,774.0,0.7023593466424682
Donostia/San Sebastián sección 05003,06905003,18148.0,839.0,613.0,0.7306317044100119
Donostia/San Sebastián sección 05004,06905004,17517.0,748.0,518.0,0.6925133689839572
Donostia/San Sebastián sección 05005,06905005,19568.0,975.0,652.0,0.6687179487179488
Donostia/San Sebastián sección 05006,06905006,18729.0,761.0,542.0,0.7122207621550591
Donostia/San Sebastián sección 05007,06905007,17429.0,629.0,417.0,0.6629570747217806
Donostia/San Sebastián sección 05008,06905008,20602.0,1350.0,946.0,0.7007407407407408
Donostia/San Sebastián sección 05009,06905009,20692.0,873.0,650.0,0.7445589919816724
Donostia/San Sebastián sección 05010,06905010,20663.0,883.0,666.0,0.7542468856172141
Donostia/San Sebastián sección 05011,06905011,18728.0,550.0,405.0,0.7363636363636363
Donostia/San Sebastián sección 05012,06905012,19131.0,1539.0,1060.0,0.6887589343729694
Donostia/San Sebastián sección 05013,06905013,19191.0,999.0,659.0,0.6596596596596597
Donostia/San Sebastián sección 05014,06905014,20230.0,1348.0,947.0,0.7025222551928784
Donostia/San Sebastián sección 06001,06906001,32183.0,852.0,624.0,0.7323943661971831
Donostia/San Sebastián sección 06002,06906002,22524.0,1025.0,724.0,0.7063414634146341
Donostia/San Sebastián sección 06003,06906003,16391.0,1024.0,725.0,0.7080078125
Donostia/San Sebastián sección 06004,06906004,18289.0,1529.0,1082.0,0.7076520601700458
Donostia/San Sebastián sección 06005,06906005,17474.0,1338.0,968.0,0.7234678624813154
Donostia/San Sebastián sección 06006,06906006,22951.0,909.0,652.0,0.7172717271727173
