Nombre Sección,Sección,Total,censo,votos_total,Participación,cuartil
Eibar sección 02003,3002003,12939.0,976.0,672.0,0.6885245901639344,Q1
Eibar sección 02004,3002004,13092.0,1002.0,631.0,0.6297405189620758,Q2
Eibar sección 02005,3002005,14491.0,923.0,621.0,0.6728060671722643,Q3
Eibar sección 03001,3003001,12617.0,1219.0,709.0,0.5816242821985234,Q1
Eibar sección 03003,3003003,15803.0,785.0,533.0,0.6789808917197452,Q3
Eibar sección 03004,3003004,14883.0,665.0,438.0,0.6586466165413534,Q3
Eibar sección 04001,3004001,14046.0,909.0,569.0,0.6259625962596259,Q2
Eibar sección 04002,3004002,16441.0,748.0,511.0,0.6831550802139037,Q4
Eibar sección 04003,3004003,22142.0,1003.0,700.0,0.6979062811565304,Q4
Eibar sección 04004,3004004,17509.0,540.0,401.0,0.7425925925925926,Q4
Eibar sección 04005,3004005,14295.0,772.0,469.0,0.6075129533678757,Q2
Eibar sección 04006,3004006,14075.0,780.0,510.0,0.6538461538461539,Q2
Eibar sección 05001,3005001,13232.0,1003.0,661.0,0.6590229312063809,Q2
Eibar sección 05002,3005002,18436.0,687.0,467.0,0.6797671033478894,Q4
Eibar sección 05003,3005003,12204.0,1160.0,781.0,0.6732758620689655,Q1
Eibar sección 05004,3005004,14142.0,926.0,590.0,0.6371490280777538,Q2
Elduain sección 01001,3101001,14530.0,176.0,90.0,0.5113636363636364,Q3
Elgoibar sección 01001,3201001,14181.0,1163.0,774.0,0.6655202063628547,Q2
Elgoibar sección 01002,3201002,14260.0,904.0,576.0,0.6371681415929203,Q2
Elgoibar sección 01003,3201003,15372.0,1493.0,983.0,0.6584058941728065,Q3
Elgoibar sección 01004,3201004,13058.0,622.0,375.0,0.6028938906752411,Q2
Elgoibar sección 01005,3201005,15436.0,945.0,585.0,0.6190476190476191,Q3
Elgoibar sección 01006,3201006,14098.0,831.0,520.0,0.6257521058965102,Q2
Elgoibar sección 01007,3201007,17286.0,1043.0,724.0,0.6941514860977949,Q4
Elgoibar sección 01008,3201008,13784.0,919.0,599.0,0.6517954298150164,Q2
Elgoibar sección 01010,3201010,15123.0,877.0,536.0,0.6111744583808438,Q3
Elgeta sección 01001,3301001,15227.0,868.0,600.0,0.6912442396313364,Q3
Eskoriatza sección 01001,3401001,15741.0,1586.0,1001.0,0.6311475409836066,Q3
Eskoriatza sección 01002,3401002,16516.0,1559.0,1025.0,0.6574727389352149,Q4
Ezkio-Itsaso sección 01001,3501001,17387.0,486.0,337.0,0.6934156378600823,Q4
Hondarribia sección 01001,3601001,14105.0,1198.0,709.0,0.5918196994991652,Q2
Hondarribia sección 01002,3601002,15313.0,1176.0,771.0,0.6556122448979592,Q3
Hondarribia sección 01003,3601003,14567.0,1178.0,763.0,0.6477079796264855,Q3
Hondarribia sección 01004,3601004,14659.0,773.0,499.0,0.6455368693402329,Q3
Hondarribia sección 01005,3601005,16181.0,1319.0,891.0,0.6755117513267627,Q3
Hondarribia sección 01006,3601006,12341.0,1190.0,784.0,0.6588235294117647,Q1
Hondarribia sección 01007,3601007,17102.0,1381.0,828.0,0.5995655322230268,Q4
Hondarribia sección 01008,3601008,18809.0,1259.0,813.0,0.6457505957108817,Q4
Hondarribia sección 01009,3601009,18655.0,955.0,678.0,0.7099476439790576,Q4
Hondarribia sección 01010,3601010,10457.0,593.0,346.0,0.5834738617200674,Q1
Hondarribia sección 01011,3601011,14442.0,1435.0,939.0,0.6543554006968642,Q3
Hondarribia sección 01012,3601012,23048.0,753.0,497.0,0.6600265604249668,Q4
Gaintza sección 01001,3701001,14764.0,99.0,64.0,0.6464646464646465,Q3
Gabiria sección 01001,3801001,17007.0,387.0,261.0,0.6744186046511628,Q4
Getaria sección 01001,3901001,13979.0,791.0,505.0,0.638432364096081,Q2
Getaria sección 01002,3901002,15397.0,1320.0,975.0,0.7386363636363636,Q3
Hernani sección 01001,4001001,12402.0,715.0,467.0,0.6531468531468532,Q1
Hernani sección 01002,4001002,13704.0,925.0,582.0,0.6291891891891892,Q2
Hernani sección 01003,4001003,14047.0,851.0,548.0,0.6439482961222092,Q2
Hernani sección 01004,4001004,14059.0,1398.0,891.0,0.6373390557939914,Q2
Hernani sección 01005,4001005,14175.0,1224.0,768.0,0.6274509803921569,Q2
Hernani sección 01006,4001006,12308.0,694.0,436.0,0.6282420749279539,Q1
Hernani sección 01007,4001007,12177.0,834.0,452.0,0.5419664268585132,Q1
Hernani sección 01008,4001008,11351.0,869.0,439.0,0.5051783659378596,Q1
Hernani sección 01009,4001009,13221.0,481.0,284.0,0.5904365904365905,Q2
Hernani sección 01010,4001010,14542.0,1460.0,886.0,0.6068493150684932,Q3
Hernani sección 01011,4001011,12392.0,704.0,457.0,0.6491477272727273,Q1
Hernani sección 01012,4001012,13673.0,762.0,482.0,0.6325459317585301,Q2
Hernani sección 01013,4001013,12906.0,1397.0,905.0,0.6478167501789549,Q1
Hernani sección 01014,4001014,12874.0,697.0,390.0,0.5595408895265424,Q1
Hernani sección 01015,4001015,15425.0,692.0,466.0,0.6734104046242775,Q3
Hernani sección 01016,4001016,14184.0,1586.0,991.0,0.6248423707440101,Q2
Hernialde sección 01001,4101001,14444.0,255.0,123.0,0.4823529411764706,Q3
Ibarra sección 01001,4201001,13336.0,1227.0,741.0,0.6039119804400978,Q2
Ibarra sección 01002,4201002,12450.0,1129.0,686.0,0.6076173604960142,Q1
Ibarra sección 01003,4201003,15310.0,872.0,540.0,0.6192660550458715,Q3
Idiazabal sección 01001,4301001,16933.0,1739.0,1090.0,0.6267970097757332,Q4
Ikaztegieta sección 01001,4401001,15444.0,367.0,236.0,0.6430517711171662,Q3
Irun sección 01001,4501001,14033.0,1755.0,1181.0,0.672934472934473,Q2
Irun sección 01002,4501002,12457.0,1207.0,809.0,0.6702568351284176,Q1
Irun sección 01003,4501003,14352.0,1612.0,1086.0,0.673697270471464,Q2
Irun sección 01004,4501004,13918.0,1113.0,786.0,0.706199460916442,Q2
Irun sección 02001,4502001,11440.0,1326.0,850.0,0.6410256410256411,Q1
Irun sección 02002,4502002,10423.0,1553.0,926.0,0.5962652929813265,Q1
Irun sección 02003,4502003,12002.0,759.0,451.0,0.5942028985507246,Q1
Irun sección 02004,4502004,11976.0,1627.0,1017.0,0.6250768285187461,Q1
Irun sección 02005,4502005,13887.0,1322.0,822.0,0.6217851739788199,Q2
Irun sección 02006,4502006,14376.0,1084.0,765.0,0.705719557195572,Q2
Irun sección 02007,4502007,11908.0,1066.0,732.0,0.6866791744840526,Q1
Irun sección 02008,4502008,11143.0,1509.0,971.0,0.6434724983432737,Q1
Irun sección 02009,4502009,13676.0,782.0,550.0,0.7033248081841432,Q2
Irun sección 02010,4502010,13755.0,1692.0,1188.0,0.7021276595744681,Q2
Irun sección 03001,4503001,16367.0,1468.0,1031.0,0.702316076294278,Q4
Irun sección 03002,4503002,9770.0,857.0,553.0,0.6452742123687282,Q1
Irun sección 03003,4503003,10237.0,852.0,531.0,0.6232394366197183,Q1
Irun sección 03004,4503004,9311.0,705.0,398.0,0.5645390070921986,Q1
Irun sección 03005,4503005,10447.0,1113.0,693.0,0.6226415094339622,Q1
Irun sección 03006,4503006,13709.0,1041.0,686.0,0.6589817483189241,Q2
Irun sección 03007,4503007,10253.0,1027.0,667.0,0.6494644595910418,Q1
Irun sección 03008,4503008,12464.0,923.0,592.0,0.6413867822318526,Q1
Irun sección 03009,4503009,12469.0,1023.0,683.0,0.667644183773216,Q1
Irun sección 03010,4503010,10981.0,1210.0,850.0,0.7024793388429752,Q1
Irun sección 03011,4503011,12881.0,825.0,570.0,0.6909090909090909,Q1
Irun sección 03012,4503012,11802.0,1144.0,758.0,0.6625874125874126,Q1
Irun sección 03013,4503013,11233.0,1381.0,893.0,0.6466328747284577,Q1
Irun sección 03014,4503014,11286.0,929.0,552.0,0.5941872981700753,Q1
Irun sección 03015,4503015,13608.0,1774.0,1208.0,0.6809470124013529,Q2
Irun sección 03016,4503016,9104.0,572.0,335.0,0.5856643356643356,Q1
Irun sección 03017,4503017,15227.0,1514.0,1010.0,0.667107001321004,Q3
Irun sección 03018,4503018,11553.0,779.0,544.0,0.6983311938382541,Q1
Irun sección 03019,4503019,16953.0,908.0,558.0,0.6145374449339207,Q4
Irun sección 04001,4504001,9804.0,496.0,429.0,0.8649193548387096,Q1
Irun sección 04002,4504002,10269.0,652.0,305.0,0.4677914110429448,Q1
Irun sección 04003,4504003,9952.0,1315.0,836.0,0.6357414448669202,Q1
Irun sección 04004,4504004,14726.0,947.0,650.0,0.6863780359028511,Q3
Irun sección 04005,4504005,11116.0,902.0,582.0,0.6452328159645233,Q1
Irun sección 04006,4504006,11685.0,1295.0,832.0,0.6424710424710425,Q1
Irun sección 04007,4504007,13070.0,726.0,445.0,0.6129476584022039,Q2
Irun sección 04008,4504008,13469.0,902.0,607.0,0.6729490022172949,Q2
Irun sección 04009,4504009,14888.0,939.0,593.0,0.6315228966986155,Q3
Irura sección 01001,4601001,13787.0,1223.0,739.0,0.6042518397383483,Q2
Itsasondo sección 01001,4701001,13262.0,469.0,307.0,0.6545842217484008,Q2
Larraul sección 01001,4801001,13075.0,182.0,100.0,0.5494505494505495,Q2
Lazkao sección 01001,4901001,15522.0,1518.0,1006.0,0.6627140974967062,Q3
Lazkao sección 01002,4901002,14437.0,1358.0,861.0,0.634020618556701,Q3
Lazkao sección 01003,4901003,15598.0,1246.0,810.0,0.6500802568218299,Q3
