Nombre Sección,Sección,Total,censo,votos_total,Participación,desviación renta 16,cambio renta 16-19,desviación participación 16,cambio voto 16-19
Donostia/San Sebastián sección 02009,6902009,20045.0,740.0,537.0,0.7256756756756757,4981.267889908257,2913.3431192660537,-138.48529411764707,-64.10369670804096
Lasarte-Oria sección 01003,90201003,12645.0,1224.0,864.0,0.7058823529411765,-2418.7321100917434,-395.6568807339463,188.51470588235293,-64.10369670804096
Donostia/San Sebastián sección 03030,6903030,18785.0,1202.0,876.0,0.7287853577371048,3721.2678899082566,768.3431192660537,200.51470588235293,-63.10369670804096
Andoain sección 01010,901010,13281.0,997.0,667.0,0.6690070210631895,-1782.7321100917434,-127.65688073394631,-8.485294117647072,-63.10369670804096
Legorreta sección 01001,5201001,13802.0,1090.0,779.0,0.7146788990825688,-1261.7321100917434,-229.6568807339463,103.51470588235293,-63.10369670804096
Donostia/San Sebastián sección 02008,6902008,24228.0,853.0,596.0,0.6987104337631888,9164.267889908257,567.3431192660537,-79.48529411764707,-62.10369670804096
Irun sección 04005,4504005,11116.0,902.0,582.0,0.6452328159645233,-3947.7321100917434,-231.6568807339463,-93.48529411764707,-62.10369670804096
Donostia/San Sebastián sección 07015,6907015,13970.0,1411.0,969.0,0.6867469879518072,-1093.7321100917434,-829.6568807339463,293.5147058823529,-62.10369670804096
Errenteria sección 01025,6701025,12115.0,1023.0,639.0,0.624633431085044,-2948.7321100917434,105.34311926605369,-36.48529411764707,-62.10369670804096
Eibar sección 02003,3002003,12939.0,976.0,672.0,0.6885245901639344,-2124.7321100917434,-567.6568807339463,-3.485294117647072,-61.10369670804096
Zaldibia sección 01001,7801001,15299.0,1155.0,850.0,0.7359307359307359,235.26788990825662,-396.6568807339463,174.51470588235293,-61.10369670804096
Errenteria sección 01014,6701014,11641.0,946.0,572.0,0.6046511627906976,-3422.7321100917434,-170.6568807339463,-103.48529411764707,-61.10369670804096
Donostia/San Sebastián sección 07019,6907019,10725.0,831.0,526.0,0.6329723225030084,-4338.732110091743,23.34311926605369,-149.48529411764707,-60.10369670804096
Arrasate/Mondragón sección 03002,5503002,15349.0,746.0,493.0,0.660857908847185,285.2678899082566,-2061.6568807339463,-182.48529411764707,-60.10369670804096
Donostia/San Sebastián sección 05008,6905008,16801.0,1389.0,976.0,0.7026637868970482,1737.2678899082566,2458.3431192660537,300.5147058823529,-60.10369670804096
Errenteria sección 01020,6701020,13505.0,945.0,637.0,0.674074074074074,-1558.7321100917434,113.34311926605369,-38.48529411764707,-60.10369670804096
Irun sección 02004,4502004,11976.0,1627.0,1017.0,0.6250768285187461,-3087.7321100917434,-29.65688073394631,341.5147058823529,-59.10369670804096
Donostia/San Sebastián sección 05005,6905005,18290.0,1016.0,681.0,0.6702755905511811,3226.2678899082566,-64.65688073394631,5.514705882352928,-59.10369670804096
Andoain sección 01006,901006,12208.0,920.0,600.0,0.6521739130434783,-2855.7321100917434,-120.65688073394631,-75.48529411764707,-59.10369670804096
Donostia/San Sebastián sección 04001,6904001,22352.0,1041.0,724.0,0.6954851104707013,7288.267889908257,3318.3431192660537,48.51470588235293,-59.10369670804096
Irun sección 03011,4503011,12881.0,825.0,570.0,0.6909090909090909,-2182.7321100917434,-410.6568807339463,-105.48529411764707,-59.10369670804096
Donostia/San Sebastián sección 02007,6902007,25923.0,887.0,647.0,0.7294250281848929,10859.267889908257,1678.3431192660537,-28.485294117647072,-59.10369670804096
Donostia/San Sebastián sección 03025,6903025,19459.0,1773.0,1273.0,0.7179921037789058,4395.267889908257,-199.6568807339463,597.5147058823529,-57.10369670804096
Lasarte-Oria sección 01004,90201004,12550.0,1038.0,693.0,0.6676300578034682,-2513.7321100917434,104.34311926605369,17.514705882352928,-57.10369670804096
Irun sección 03001,4503001,16367.0,1468.0,1031.0,0.702316076294278,1303.2678899082566,2046.3431192660537,355.5147058823529,-56.10369670804096
Donostia/San Sebastián sección 01001,6901001,15287.0,564.0,369.0,0.6542553191489362,223.26788990825662,643.3431192660537,-306.4852941176471,-56.10369670804096
Donostia/San Sebastián sección 02002,6902002,26175.0,1205.0,896.0,0.7435684647302905,11111.267889908257,2933.3431192660537,220.51470588235293,-56.10369670804096
Lasarte-Oria sección 01012,90201012,12664.0,848.0,555.0,0.6544811320754716,-2399.7321100917434,-341.6568807339463,-120.48529411764707,-56.10369670804096
Donostia/San Sebastián sección 04003,6904003,18042.0,836.0,603.0,0.7212918660287081,2978.2678899082566,1283.3431192660537,-72.48529411764707,-55.10369670804096
Errenteria sección 01013,6701013,11662.0,739.0,475.0,0.6427604871447903,-3401.7321100917434,-261.6568807339463,-200.48529411764707,-55.10369670804096
Eibar sección 02004,3002004,13092.0,1002.0,631.0,0.6297405189620758,-1971.7321100917434,-575.6568807339463,-44.48529411764707,-54.10369670804096
Donostia/San Sebastián sección 07028,6907028,12733.0,926.0,615.0,0.6641468682505399,-2330.7321100917434,456.3431192660537,-60.48529411764707,-54.10369670804096
Donostia/San Sebastián sección 04007,6904007,16045.0,1427.0,967.0,0.677645409950946,981.2678899082566,11.34311926605369,291.5147058823529,-54.10369670804096
Donostia/San Sebastián sección 01003,6901003,14445.0,1073.0,693.0,0.6458527493010252,-618.7321100917434,-234.6568807339463,17.514705882352928,-53.10369670804096
Irun sección 02007,4502007,11908.0,1066.0,732.0,0.6866791744840526,-3155.7321100917434,365.3431192660537,56.51470588235293,-53.10369670804096
Irun sección 03004,4503004,9311.0,705.0,398.0,0.5645390070921986,-5752.732110091743,269.3431192660537,-277.4852941176471,-53.10369670804096
Irun sección 03012,4503012,11802.0,1144.0,758.0,0.6625874125874126,-3261.7321100917434,-451.6568807339463,82.51470588235293,-52.10369670804096
Pasaia sección 02002,6402002,11918.0,532.0,342.0,0.6428571428571429,-3145.7321100917434,-177.6568807339463,-333.4852941176471,-52.10369670804096
Aretxabaleta sección 01001,1301001,15663.0,1189.0,803.0,0.6753574432296047,599.2678899082566,-1173.6568807339463,127.51470588235293,-51.10369670804096
Donostia/San Sebastián sección 07021,6907021,10884.0,534.0,333.0,0.6235955056179775,-4179.732110091743,-498.6568807339463,-342.4852941176471,-51.10369670804096
Donostia/San Sebastián sección 04009,6904009,14512.0,888.0,537.0,0.6047297297297297,-551.7321100917434,448.3431192660537,-138.48529411764707,-51.10369670804096
Bergara sección 03002,7403002,13164.0,779.0,520.0,0.6675224646983312,-1899.7321100917434,-1192.6568807339463,-155.48529411764707,-50.10369670804096
Donostia/San Sebastián sección 03029,6903029,18067.0,656.0,490.0,0.7469512195121951,3003.2678899082566,-1319.6568807339463,-185.48529411764707,-49.10369670804096
Pasaia sección 02003,6402003,10788.0,563.0,357.0,0.6341030195381883,-4275.732110091743,166.3431192660537,-318.4852941176471,-49.10369670804096
Lasarte-Oria sección 01008,90201008,12509.0,903.0,617.0,0.6832779623477298,-2554.7321100917434,37.34311926605369,-58.48529411764707,-49.10369670804096
Donostia/San Sebastián sección 03010,6903010,20657.0,856.0,628.0,0.7336448598130841,5593.267889908257,2966.3431192660537,-47.48529411764707,-49.10369670804096
Bergara sección 02002,7402002,14888.0,632.0,435.0,0.6882911392405063,-175.73211009174338,-383.6568807339463,-240.48529411764707,-49.10369670804096
Irun sección 02002,4502002,10423.0,1553.0,926.0,0.5962652929813265,-4640.732110091743,197.3431192660537,250.51470588235293,-48.10369670804096
Donostia/San Sebastián sección 05014,6905014,18449.0,1394.0,964.0,0.6915351506456241,3385.2678899082566,438.3431192660537,288.5147058823529,-47.10369670804096
Donostia/San Sebastián sección 07034,6907034,14497.0,842.0,590.0,0.7007125890736342,-566.7321100917434,-167.6568807339463,-85.48529411764707,-47.10369670804096
Donostia/San Sebastián sección 04006,6904006,19029.0,768.0,518.0,0.6744791666666666,3965.2678899082566,2101.3431192660537,-157.48529411764707,-46.10369670804096
Leintz-Gatzaga sección 01001,6801001,17297.0,190.0,135.0,0.7105263157894737,2233.2678899082566,-1327.6568807339463,-540.4852941176471,-46.10369670804096
Donostia/San Sebastián sección 02001,6902001,24104.0,832.0,615.0,0.7391826923076923,9040.267889908257,-381.6568807339463,-60.48529411764707,-46.10369670804096
Bergara sección 03003,7403003,16525.0,803.0,547.0,0.6811955168119551,1461.2678899082566,1849.3431192660537,-128.48529411764707,-45.10369670804096
Irun sección 03009,4503009,12469.0,1023.0,683.0,0.667644183773216,-2594.7321100917434,-316.6568807339463,7.514705882352928,-44.10369670804096
Azkoitia sección 01002,1701002,12960.0,758.0,494.0,0.6517150395778364,-2103.7321100917434,-269.6568807339463,-181.48529411764707,-44.10369670804096
Donostia/San Sebastián sección 03008,6903008,17863.0,628.0,452.0,0.7197452229299363,2799.2678899082566,846.3431192660537,-223.48529411764707,-44.10369670804096
Errenteria sección 01010,6701010,12598.0,545.0,379.0,0.6954128440366972,-2465.7321100917434,-472.6568807339463,-296.4852941176471,-44.10369670804096
Irun sección 03006,4503006,13709.0,1041.0,686.0,0.6589817483189241,-1354.7321100917434,-113.65688073394631,10.514705882352928,-43.10369670804096
Soraluze-Placencia de las Armas sección 01002,6501002,12783.0,831.0,570.0,0.6859205776173285,-2280.7321100917434,-592.6568807339463,-105.48529411764707,-43.10369670804096
Donostia/San Sebastián sección 06017,6906017,22738.0,884.0,656.0,0.7420814479638009,7674.267889908257,-2074.6568807339463,-19.485294117647072,-43.10369670804096
Andoain sección 01011,901011,13402.0,1184.0,769.0,0.6494932432432432,-1661.7321100917434,11.34311926605369,93.51470588235293,-42.10369670804096
Zumarraga sección 01002,8001002,15755.0,1316.0,888.0,0.6747720364741642,691.2678899082566,-301.6568807339463,212.51470588235293,-42.10369670804096
Donostia/San Sebastián sección 01006,6901006,22571.0,870.0,609.0,0.7,7507.267889908257,-1056.6568807339463,-66.48529411764707,-42.10369670804096
Donostia/San Sebastián sección 01005,6901005,20390.0,781.0,550.0,0.704225352112676,5326.267889908257,-1044.6568807339463,-125.48529411764707,-41.10369670804096
Donostia/San Sebastián sección 07014,6907014,11971.0,1131.0,665.0,0.5879752431476569,-3092.7321100917434,442.3431192660537,-10.485294117647072,-41.10369670804096
Errenteria sección 01016,6701016,10848.0,557.0,348.0,0.6247755834829444,-4215.732110091743,-624.6568807339463,-327.4852941176471,-41.10369670804096
Irun sección 03002,4503002,9770.0,857.0,553.0,0.6452742123687282,-5293.732110091743,-79.65688073394631,-122.48529411764707,-41.10369670804096
Eibar sección 05003,3005003,12204.0,1160.0,781.0,0.6732758620689655,-2859.7321100917434,-74.65688073394631,105.51470588235293,-41.10369670804096
Pasaia sección 04003,6404003,11281.0,598.0,369.0,0.617056856187291,-3782.7321100917434,-785.6568807339463,-306.4852941176471,-41.10369670804096
Donostia/San Sebastián sección 03027,6903027,16554.0,1243.0,899.0,0.7232502011263073,1490.2678899082566,-47.65688073394631,223.51470588235293,-41.10369670804096
Pasaia sección 04005,6404005,10778.0,897.0,491.0,0.5473801560758083,-4285.732110091743,-305.6568807339463,-184.48529411764707,-40.10369670804096
Errenteria sección 01001,6701001,12978.0,508.0,328.0,0.6456692913385826,-2085.7321100917434,360.3431192660537,-347.4852941176471,-40.10369670804096
Donostia/San Sebastián sección 03026,6903026,16995.0,872.0,633.0,0.7259174311926605,1931.2678899082566,-774.6568807339463,-42.48529411764707,-40.10369670804096
Lasarte-Oria sección 01005,90201005,15750.0,563.0,392.0,0.6962699822380106,686.2678899082566,-1062.6568807339463,-283.4852941176471,-40.10369670804096
Irun sección 03014,4503014,11286.0,929.0,552.0,0.5941872981700753,-3777.7321100917434,-325.6568807339463,-123.48529411764707,-39.10369670804096
Donostia/San Sebastián sección 06004,6906004,16244.0,1563.0,1091.0,0.6980166346769033,1180.2678899082566,702.3431192660537,415.5147058823529,-39.10369670804096
Andoain sección 01004,901004,13675.0,798.0,480.0,0.6015037593984962,-1388.7321100917434,-75.65688073394631,-195.48529411764707,-39.10369670804096
Ordizia sección 01002,7601002,12744.0,750.0,477.0,0.636,-2319.7321100917434,-641.6568807339463,-198.48529411764707,-39.10369670804096
Legazpi sección 01007,5101007,14687.0,599.0,407.0,0.679465776293823,-376.7321100917434,38.34311926605369,-268.4852941176471,-39.10369670804096
Hondarribia sección 01007,3601007,17102.0,1381.0,828.0,0.5995655322230268,2038.2678899082566,1175.3431192660537,152.51470588235293,-38.10369670804096
Donostia/San Sebastián sección 07011,6907011,11566.0,793.0,510.0,0.6431273644388399,-3497.7321100917434,-376.6568807339463,-165.48529411764707,-38.10369670804096
Irun sección 04003,4504003,9952.0,1315.0,836.0,0.6357414448669202,-5111.732110091743,133.3431192660537,160.51470588235293,-38.10369670804096
Andoain sección 01008,901008,14814.0,927.0,573.0,0.6181229773462783,-249.73211009174338,-1226.6568807339463,-102.48529411764707,-38.10369670804096
Beizama sección 01001,2001001,13186.0,125.0,71.0,0.568,-1877.7321100917434,910.3431192660537,-604.4852941176471,-37.10369670804096
Donostia/San Sebastián sección 03021,6903021,12365.0,1373.0,941.0,0.685360524399126,-2698.7321100917434,-182.6568807339463,265.5147058823529,-37.10369670804096
Hernani sección 01011,4001011,12392.0,704.0,457.0,0.6491477272727273,-2671.7321100917434,-650.6568807339463,-218.48529411764707,-37.10369670804096
Andoain sección 01009,901009,14051.0,904.0,537.0,0.5940265486725663,-1012.7321100917434,828.3431192660537,-138.48529411764707,-37.10369670804096
Errenteria sección 01028,6701028,11179.0,1462.0,888.0,0.6073871409028728,-3884.7321100917434,-107.65688073394631,212.51470588235293,-37.10369670804096
Errenteria sección 01034,6701034,11992.0,576.0,377.0,0.6545138888888888,-3071.7321100917434,-48.65688073394631,-298.4852941176471,-37.10369670804096
Donostia/San Sebastián sección 03015,6903015,16192.0,831.0,589.0,0.7087845968712395,1128.2678899082566,-430.6568807339463,-86.48529411764707,-36.10369670804096
Donostia/San Sebastián sección 04004,6904004,18834.0,844.0,623.0,0.7381516587677726,3770.2678899082566,783.3431192660537,-52.48529411764707,-36.10369670804096
Olaberria sección 01001,5801001,15759.0,755.0,529.0,0.7006622516556291,695.2678899082566,-235.6568807339463,-146.48529411764707,-36.10369670804096
Donostia/San Sebastián sección 07022,6907022,11423.0,780.0,541.0,0.6935897435897436,-3640.7321100917434,-486.6568807339463,-134.48529411764707,-36.10369670804096
Hondarribia sección 01002,3601002,15313.0,1176.0,771.0,0.6556122448979592,249.26788990825662,383.3431192660537,95.51470588235293,-36.10369670804096
Andoain sección 01001,901001,13630.0,1025.0,684.0,0.6673170731707317,-1433.7321100917434,-876.6568807339463,8.514705882352928,-35.10369670804096
Donostia/San Sebastián sección 04012,6904012,15069.0,1068.0,708.0,0.6629213483146067,5.26788990825662,530.3431192660537,32.51470588235293,-35.10369670804096
Errenteria sección 01002,6701002,13443.0,1209.0,859.0,0.7105045492142267,-1620.7321100917434,-370.6568807339463,183.51470588235293,-35.10369670804096
Donostia/San Sebastián sección 06019,6906019,16874.0,1390.0,983.0,0.7071942446043166,1810.2678899082566,-186.6568807339463,307.5147058823529,-35.10369670804096
Donostia/San Sebastián sección 07003,6907003,18477.0,1089.0,744.0,0.6831955922865014,3413.2678899082566,3682.3431192660537,68.51470588235293,-35.10369670804096
Donostia/San Sebastián sección 07024,6907024,11676.0,1332.0,824.0,0.6186186186186187,-3387.7321100917434,-464.6568807339463,148.51470588235293,-35.10369670804096
Legazpi sección 01004,5101004,15238.0,842.0,574.0,0.6817102137767221,174.26788990825662,-387.6568807339463,-101.48529411764707,-34.10369670804096
Irun sección 04008,4504008,13469.0,902.0,607.0,0.6729490022172949,-1594.7321100917434,276.3431192660537,-68.48529411764707,-34.10369670804096
Donostia/San Sebastián sección 04020,6904020,10785.0,842.0,472.0,0.5605700712589073,-4278.732110091743,450.3431192660537,-203.48529411764707,-34.10369670804096
Donostia/San Sebastián sección 07027,6907027,12680.0,1710.0,1105.0,0.6461988304093568,-2383.7321100917434,202.3431192660537,429.5147058823529,-34.10369670804096
Donostia/San Sebastián sección 06015,6906015,15802.0,835.0,572.0,0.6850299401197605,738.2678899082566,-247.6568807339463,-103.48529411764707,-33.10369670804096
Lasarte-Oria sección 01009,90201009,13634.0,1868.0,1258.0,0.6734475374732334,-1429.7321100917434,-45.65688073394631,582.5147058823529,-33.10369670804096
Gaztelu sección 01001,90701001,13014.0,118.0,85.0,0.7203389830508474,-2049.7321100917434,-544.6568807339463,-590.4852941176471,-33.10369670804096
Pasaia sección 04002,6404002,11563.0,955.0,588.0,0.6157068062827226,-3500.7321100917434,-162.6568807339463,-87.48529411764707,-33.10369670804096
Eibar sección 01004,3001004,14198.0,1258.0,788.0,0.6263910969793323,-865.7321100917434,-206.6568807339463,112.51470588235293,-33.10369670804096
Donostia/San Sebastián sección 06016,6906016,17878.0,1743.0,1206.0,0.6919104991394148,2814.2678899082566,672.3431192660537,530.5147058823529,-33.10369670804096
Lasarte-Oria sección 01010,90201010,11856.0,702.0,465.0,0.6623931623931624,-3207.7321100917434,241.3431192660537,-210.48529411764707,-32.10369670804096
Errenteria sección 01023,6701023,12196.0,1009.0,632.0,0.626362735381566,-2867.7321100917434,-302.6568807339463,-43.48529411764707,-32.10369670804096
Errenteria sección 01008,6701008,10388.0,687.0,404.0,0.5880640465793304,-4675.732110091743,-555.6568807339463,-271.4852941176471,-32.10369670804096
Donostia/San Sebastián sección 06006,6906006,18033.0,948.0,654.0,0.689873417721519,2969.2678899082566,3575.3431192660537,-21.485294117647072,-32.10369670804096
Donostia/San Sebastián sección 05013,6905013,17331.0,1005.0,660.0,0.6567164179104478,2267.2678899082566,517.3431192660537,-15.485294117647072,-31.103696708040957
Errenteria sección 01003,6701003,12853.0,688.0,468.0,0.6802325581395349,-2210.7321100917434,-252.6568807339463,-207.48529411764707,-31.103696708040957
Zumarraga sección 01006,8001006,13569.0,1226.0,842.0,0.6867862969004894,-1494.7321100917434,-1302.6568807339463,166.51470588235293,-31.103696708040957
Beasain sección 01001,1901001,11596.0,786.0,446.0,0.5674300254452926,-3467.7321100917434,161.3431192660537,-229.48529411764707,-31.103696708040957
Eibar sección 05001,3005001,13232.0,1003.0,661.0,0.6590229312063809,-1831.7321100917434,-1615.6568807339463,-14.485294117647072,-31.103696708040957
Irun sección 04007,4504007,13070.0,726.0,445.0,0.6129476584022039,-1993.7321100917434,-345.6568807339463,-230.48529411764707,-30.103696708040957
Altzaga sección 01001,90601001,13192.0,119.0,87.0,0.7310924369747899,-1871.7321100917434,-516.6568807339463,-588.4852941176471,-30.103696708040957
Donostia/San Sebastián sección 03011,6903011,17730.0,996.0,695.0,0.6977911646586346,2666.2678899082566,237.3431192660537,19.514705882352928,-30.103696708040957
Donostia/San Sebastián sección 03017,6903017,15564.0,1205.0,886.0,0.7352697095435685,500.2678899082566,13.34311926605369,210.51470588235293,-29.103696708040957
Donostia/San Sebastián sección 07017,6907017,12173.0,1015.0,627.0,0.6177339901477833,-2890.7321100917434,-381.6568807339463,-48.48529411764707,-29.103696708040957
Donostia/San Sebastián sección 07032,6907032,12244.0,757.0,455.0,0.6010568031704095,-2819.7321100917434,-675.6568807339463,-220.48529411764707,-29.103696708040957
Soraluze-Placencia de las Armas sección 02001,6502001,13508.0,1151.0,726.0,0.630755864465682,-1555.7321100917434,-267.6568807339463,50.51470588235293,-29.103696708040957
Irun sección 02009,4502009,13676.0,782.0,550.0,0.7033248081841432,-1387.7321100917434,-611.6568807339463,-125.48529411764707,-29.103696708040957
Hondarribia sección 01010,3601010,10457.0,593.0,346.0,0.5834738617200674,-4606.732110091743,725.3431192660537,-329.4852941176471,-29.103696708040957
Donostia/San Sebastián sección 07004,6907004,12652.0,664.0,406.0,0.6114457831325302,-2411.7321100917434,-136.6568807339463,-269.4852941176471,-29.103696708040957
Donostia/San Sebastián sección 04008,6904008,14770.0,1289.0,800.0,0.6206361520558572,-293.7321100917434,-437.6568807339463,124.51470588235293,-29.103696708040957
Legazpi sección 01001,5101001,16355.0,1166.0,807.0,0.6921097770154374,1291.2678899082566,-1389.6568807339463,131.51470588235293,-28.103696708040957
Berrobi sección 01001,2301001,13635.0,441.0,252.0,0.5714285714285714,-1428.7321100917434,-350.6568807339463,-423.4852941176471,-28.103696708040957
Donostia/San Sebastián sección 07005,6907005,12240.0,1015.0,627.0,0.6177339901477833,-2823.7321100917434,553.3431192660537,-48.48529411764707,-28.103696708040957
Eibar sección 03003,3003003,15803.0,785.0,533.0,0.6789808917197452,739.2678899082566,-941.6568807339463,-142.48529411764707,-28.103696708040957
Usurbil sección 01002,7301002,13069.0,861.0,509.0,0.5911730545876888,-1994.7321100917434,185.3431192660537,-166.48529411764707,-27.103696708040957
Donostia/San Sebastián sección 03007,6903007,15819.0,547.0,395.0,0.7221206581352834,755.2678899082566,471.3431192660537,-280.4852941176471,-27.103696708040957
Hernani sección 01001,4001001,12402.0,715.0,467.0,0.6531468531468532,-2661.7321100917434,-5.656880733946309,-208.48529411764707,-27.103696708040957
Elgoibar sección 01001,3201001,14181.0,1163.0,774.0,0.6655202063628547,-882.7321100917434,35.34311926605369,98.51470588235293,-27.103696708040957
