022016061142001801007 B00004550000455000000000000000000132000017200000000000000000024300000000000000S
022016061142001801008 U00005690000569000000000000000000178000024600000010000000000030800000000000000S
022016061142001801009 A00006660000666000000000000000000229000032400000020000003000041500000000000000S
022016061142001801009 B00006120000612000000000000000000268000032500000020000000000040800000000000000S
022016061142001901001 U00007860000786000000000000000000245000031100000020000001000044300000000000000S
022016061142001901002 A00008170000817000000000000000000290000039100000090000005000052500000000000000S
022016061142001901002 B00007790000779000000000000000000263000036000000020000001000050000000000000000S
022016061142001901003 A00006860000686000000000000000000245000032800000070000002000044600000000000000S
022016061142001901003 B00007910000791000000000000000000267000037200000000000004000050900000000000000S
022016061142001901004 A00005850000585000000000000000000194000025700000030000001000036300000000000000S
022016061142001901004 B00006600000660000000000000000000230000028800000010000001000041500000000000000S
022016061142001901005 A00007640000764000000000000000000234000032300000040000007000046400000000000000S
022016061142001901005 B00008220000822000000000000000000276000038600000060000002000053300000000000000S
022016061142001901007 A00008640000864000000000000000000293000052600000020000003000058600000000000000S
022016061142001901007 B00009280000928000000000000000000296000045200000060000002000062600000000000000S
022016061142001901008 U00005220000522000000000000000000195000028000000040000004000036400000000000000S
022016061142001901009 A00004880000488000000000000000000144000019200000020000002000027500000000000000S
022016061142001901009 B00004940000494000000000000000000134000018600000000000001000029500000000000000S
022016061142002001001 U00001250000125000000000000000000031000004800000030000002000006600000000000000S
022016061142002101001 U00002000000200000000000000000000052000007600000020000000000009800000000000000S
022016061142002201001 U00008390000839000000000000000000199000031700000040000001000046800000000000000S
022016061142002301001 U00004410000441000000000000000000122000018200000010000001000025000000000000000S
022016061142002401001 U00003860000386000000000000000000112000012900000030000001000020600000000000000S
022016061142002501001 A00005900000590000000000000000000199000028100000030000003000040200000000000000S
022016061142002501001 B00005530000553000000000000000000181000025700000050000002000035000000000000000S
022016061142002601001 U00001970000197000000000000000000073000009900000000000012000013300000000000000S
022016061142002701001 A00008420000842000000000000000000313000043200000030000005000055300000000000000S
022016061142002701001 B00009410000941000000000000000000319000046100000040000002000060300000000000000S
022016061142002701002 A00004220000422000000000000000000141000020400000050000001000023800000000000000S
022016061142002701002 B00002360000236000000000000000000083000011400000010000001000014400000000000000S
022016061142002701002 C00003730000373000000000000000000116000015300000020000002000019700000000000000S
022016061142002801001 A00007570000757000000000000000000254000037500000040000000000048300000000000000S
022016061142002801001 B00006700000670000000000000000000245000034500000060000005000042400000000000000S
022016061142002801002 U00008100000810000000000000000000237000037200000010000003000044700000000000000S
022016061142002901001 A00006640000664000000000000000000285000035500000000000001000045400000000000000S
022016061142002901001 B00006700000670000000000000000000273000035900000010000003000045800000000000000S
022016061142002901002 A00006940000694000000000000000000285000037700000020000000000044700000000000000S
022016061142002901002 B00006980000698000000000000000000280000036600000060000003000046000000000000000S
022016061142002901003 U00007670000767000000000000000000281000037900000060000002000051800000000000000S
022016061142002902001 U00007880000788000000000000000000227000033900000040000002000044600000000000000S
022016061142003001001 A00006190000619000000000000000000218000033400000060000004000040600000000000000S
022016061142003001001 B00006430000643000000000000000000197000032600000030000003000041600000000000000S
022016061142003001002 A00005550000555000000000000000000194000028500000010000001000035700000000000000S
022016061142003001002 B00005610000561000000000000000000225000028900000020000000000037100000000000000S
022016061142003001003 U00008590000859000000000000000000332000045900000020000002000058100000000000000S
022016061142003001004 A00006480000648000000000000000000235000031600000060000003000040100000000000000S
022016061142003001004 B00006100000610000000000000000000225000028500000050000001000037200000000000000S
022016061142003001005 A00005330000533000000000000000000193000027500000010000002000033900000000000000S
022016061142003001005 B00005260000526000000000000000000209000028200000020000000000034600000000000000S
022016061142003002001 U00008530000853000000000000000000288000039100000030000001000053900000000000000S
022016061142003002002 A00004460000446000000000000000000149000019000000050000001000025400000000000000S
022016061142003002002 B00004720000472000000000000000000166000020500000030000000000025800000000000000S
022016061142003002003 A00004830000483000000000000000000203000025600000040000002000033300000000000000S
022016061142003002003 B00004930000493000000000000000000195000025500000070000001000032500000000000000S
022016061142003002004 A00005110000511000000000000000000156000023600000020000003000030100000000000000S
022016061142003002004 B00004910000491000000000000000000164000025300000020000001000032200000000000000S
022016061142003002005 A00004940000494000000000000000000198000025000000010000000000031800000000000000S
022016061142003002005 B00004290000430000000000000000000170000022200000040000000000029800000000000000S
022016061142003003001 A00006680000668000000000000000000218000030700000010000002000039600000000000000S
022016061142003003001 B00005510000551000000000000000000170000022800000030000003000030400000000000000S
022016061142003003003 U00007850000785000000000000000000263000041100000040000001000052800000000000000S
022016061142003003004 U00006650000665000000000000000000268000035400000010000003000043400000000000000S
022016061142003004001 A00004570000457000000000000000000159000021400000010000007000029600000000000000S
022016061142003004001 B00004520000452000000000000000000141000018600000000000001000026400000000000000S
022016061142003004002 U00007480000748000000000000000000224000040300000000000000000051100000000000000S
022016061142003004003 A00005170000517000000000000000000235000028600000020000000000036100000000000000S
022016061142003004003 B00004860000486000000000000000000222000027200000020000001000033400000000000000S
022016061142003004004 U00005400000540000000000000000000253000034400000010000001000039900000000000000S
022016061142003004005 U00007720000772000000000000000000266000033200000020000003000046400000000000000S
022016061142003004006 U00007800000780000000000000000000311000040400000080000004000049800000000000000S
022016061142003005001 A00004900000490000000000000000000138000024400000060000000000032100000000000000S
022016061142003005001 B00005130000513000000000000000000175000025900000000000000000033400000000000000S
022016061142003005002 U00006870000687000000000000000000253000037200000020000004000046100000000000000S
022016061142003005003 A00005490000549000000000000000000220000028700000060000001000036100000000000000S
022016061142003005003 B00006110000611000000000000000000240000031000000020000003000040800000000000000S
022016061142003005004 A00004680000468000000000000000000161000023300000000000002000030000000000000000S
022016061142003005004 B00004580000458000000000000000000149000022500000010000001000028600000000000000S
022016061142003101001 U00001760000176000000000000000000059000007800000000000000000009000000000000000S
022016061142003201001 A00005550000555000000000000000000210000028900000010000005000037200000000000000S
022016061142003201001 B00006080000608000000000000000000219000029700000020000004000039000000000000000S
022016061142003201002 A00004550000455000000000000000000160000022400000010000000000028800000000000000S
022016061142003201002 B00004490000449000000000000000000163000021400000020000002000028300000000000000S
022016061142003201003 A00002080000208000000000000000000067000009800000000000000000012500000000000000S
022016061142003201003 B00006700000670000000000000000000263000033300000030000002000044000000000000000S
022016061142003201003 C00006150000615000000000000000000245000032000000000000005000040800000000000000S
022016061142003201004 U00006220000622000000000000000000252000031700000010000005000036900000000000000S
022016061142003201005 A00004770000477000000000000000000160000021400000030000001000029300000000000000S
022016061142003201005 B00004680000468000000000000000000154000020000000020000002000028400000000000000S
022016061142003201006 U00008310000831000000000000000000243000036400000070000006000050700000000000000S
022016061142003201007 A00005100000510000000000000000000196000026800000040000001000035100000000000000S
022016061142003201007 B00005330000533000000000000000000212000028300000000000001000036700000000000000S
022016061142003201008 A00004520000452000000000000000000162000022500000030000002000028600000000000000S
022016061142003201008 B00004670000467000000000000000000187000023700000030000002000030300000000000000S
022016061142003201010 U00008770000877000000000000000000292000042400000080000004000052400000000000000S
022016061142003301001 U00008680000868000000000000000000289000045600000010000001000059800000000000000S
022016061142003401001 A00008150000815000000000000000000260000036900000020000006000050400000000000000S
022016061142003401001 B00007710000772000000000000000000268000036200000030000004000048200000000000000S
022016061142003401002 A00008000000800000000000000000000300000041000000050000000000053600000000000000S
022016061142003401002 B00007590000759000000000000000000260000035300000040000002000047800000000000000S
022016061142003501001 U00004860000486000000000000000000163000023100000010000003000033300000000000000S
022016061142003601001 A00006130000613000000000000000000211000026900000000000000000036200000000000000S
022016061142003601001 B00005850000585000000000000000000189000025300000000000000000034700000000000000S
022016061142003601002 A00005930000593000000000000000000203000030900000000000000000040000000000000000S
022016061142003601002 B00005830000583000000000000000000199000028600000060000004000036100000000000000S
022016061142003601003 A00006080000608000000000000000000260000036200000090000003000039700000000000000S
022016061142003601003 B00005700000570000000000000000000221000030900000040000002000034800000000000000S
022016061142003601004 U00007730000773000000000000000000288000041500000030000005000049100000000000000S
022016061142003601005 A00006490000649000000000000000000217000035100000050000003000041300000000000000S
022016061142003601005 B00006700000670000000000000000000245000038100000060000003000046100000000000000S
022016061142003601006 A00005680000568000000000000000000374000037500000020000001000037300000000000000S
022016061142003601006 B00006220000622000000000000000000173000026700000020000002000040400000000000000S
022016061142003601007 A00007320000732000000000000000000233000030500000040000002000042000000000000000S
022016061142003601007 B00006490000649000000000000000000221000028900000000000001000040100000000000000S
022016061142003601008 A00006010000601000000000000000000189000030300000040000001000037600000000000000S
022016061142003601008 B00006580000658000000000000000000245000035900000040000001000042700000000000000S
022016061142003601009 A00004720000472000000000000000000201000027600000010000003000032900000000000000S
022016061142003601009 B00004830000483000000000000000000186000028100000050000000000034000000000000000S
022016061142003601010 U00005930000593000000000000000000183000029100000040000002000034000000000000000S
022016061142003601011 A00007500000750000000000000000000243000040200000040000005000047100000000000000S
022016061142003601011 B00006850000685000000000000000000243000037300000000000001000045800000000000000S
022016061142003601012 U00007530000753000000000000000000261000039000000040000004000048900000000000000S
022016061142003701001 U00000990000099000000000000000000031000004800000020000000000006200000000000000S
022016061142003801001 U00003870000387000000000000000000144000020400000000000002000025900000000000000S
022016061142003901001 U00007910000791000000000000000000314000040500000070000004000049400000000000000S
022016061142003901002 A00006570000657000000000000000000271000038800000040000003000047100000000000000S
022016061142003901002 B00006630000663000000000000000000373000049200000030000001000049300000000000000S
022016061142004001001 U00007150000715000000000000000000220000040100000020000005000046000000000000000S
022016061142004001002 A00004610000461000000000000000000146000021200000010000002000028100000000000000S
022016061142004001002 B00004640000464000000000000000000157000023600000020000002000029400000000000000S
022016061142004001003 U00008510000851000000000000000000294000041600000000000005000054300000000000000S
022016061142004001004 A00007090000709000000000000000000228000034400000020000003000044700000000000000S
022016061142004001004 B00006890000689000000000000000000249000032900000040000002000043300000000000000S
022016061142004001005 A00006300000630000000000000000000193000029000000030000000000040100000000000000S
022016061142004001005 B00005940000594000000000000000000174000025600000020000000000036200000000000000S
022016061142004001006 U00006940000694000000000000000000300000035800000040000006000042600000000000000S
022016061142004001007 U00008340000834000000000000000000212000033500000000000003000044900000000000000S
022016061142004001008 U00008690000869000000000000000000220000032800000000000004000043500000000000000S
022016061142004001009 U00004810000481000000000000000000172000023300000040000004000027600000000000000S
022016061142004001010 A00007590000759000000000000000000271000034100000030000001000045400000000000000S
022016061142004001010 B00007010000701000000000000000000238000032400000030000001000042400000000000000S
022016061142004001011 U00007040000704000000000000000000273000037400000040000004000044900000000000000S
022016061142004001012 U00007620000763000000000000000000235000036200000030000001000047800000000000000S
022016061142004001013 A00007050000705000000000000000000238000033200000020000005000043700000000000000S
022016061142004001013 B00006920000692000000000000000000240000036600000040000005000045200000000000000S
022016061142004001014 U00006970000697000000000000000000242000029700000070000003000038000000000000000S
022016061142004001015 U00006920000692000000000000000000205000031300000030000001000046200000000000000S
022016061142004001016 A00008150000815000000000000000000249000033000000080000007000049300000000000000S
022016061142004001016 B00007710000771000000000000000000227000031700000050000007000047100000000000000S
022016061142004101001 U00002550000255000000000000000000054000008800000000000000000012300000000000000S
022016061142004201001 A00006530000653000000000000000000221000030700000100000004000038000000000000000S
022016061142004201001 B00005740000574000000000000000000169000023500000070000001000033900000000000000S
022016061142004201002 A00005740000574000000000000000000186000025600000010000001000033500000000000000S
022016061142004201002 B00005550000555000000000000000000180000025500000000000002000034700000000000000S
022016061142004201003 U00008720000872000000000000000000274000038500000090000001000053000000000000000S
022016061142004301001 A00005930000593000000000000000000221000029700000050000000000037400000000000000S
022016061142004301001 B00005240000524000000000000000000174000025200000020000001000033400000000000000S
022016061142004301001 C00006220000622000000000000000000201000027200000020000001000037100000000000000S
022016061142004401001 U00003670000367000000000000000000129000019000000000000000000023600000000000000S
022016061142004501001 A00009180000918000000000000000000306000042100000080000004000054500000000000000S
022016061142004501001 B00008370000837000000000000000000359000048100000060000003000061500000000000000S
022016061142004501002 A00006220000622000000000000000000218000031800000010000003000042200000000000000S
022016061142004501002 B00005850000585000000000000000000194000028200000020000002000037900000000000000S
022016061142004501003 A00008140000814000000000000000000310000041500000010000004000053000000000000000S
022016061142004501003 B00007980000798000000000000000000306000041300000080000005000053800000000000000S
022016061142004501004 A00005500000550000000000000000000192000030500000030000001000039800000000000000S
022016061142004501004 B00005630000563000000000000000000208000038500000040000006000037400000000000000S
022016061142004502001 A00006410000641000000000000000000225000032500000020000007000040500000000000000S
022016061142004502001 B00006850000685000000000000000000212000033200000040000003000042900000000000000S
022016061142004502002 A00008030000803000000000000000000257000036300000030000004000047600000000000000S
022016061142004502002 B00007500000750000000000000000000224000034900000020000002000043900000000000000S
022016061142004502003 U00007590000759000000000000000000217000033300000000000001000045000000000000000S
022016061142004502004 A00008010000801000000000000000000252000037800000050000006000049000000000000000S
022016061142004502004 B00008260000826000000000000000000244000037800000020000000000051400000000000000S
022016061142004502005 A00006830000683000000000000000000223000032300000010000002000042600000000000000S
022016061142004502005 B00006390000639000000000000000000218000030200000040000001000038800000000000000S
022016061142004502006 A00005460000546000000000000000000211000029000000030000002000038900000000000000S
022016061142004502006 B00005380000538000000000000000000215000028600000050000000000036600000000000000S
022016061142004502007 A00005190000519000000000000000000173000026600000020000001000034400000000000000S
022016061142004502007 B00005470000547000000000000000000226000031400000020000007000037600000000000000S
022016061142004502008 A00007800000780000000000000000000213000038900000000000007000050900000000000000S
022016061142004502008 B00007290000729000000000000000000228000034200000030000003000044900000000000000S
022016061142004502009 U00007820000782000000000000000000270000038000000030000002000054500000000000000S
