censo,votos_total,Sección
1389,976,06905008
933,686,06905009
911,647,06905010
575,391,06905011
1503,1045,06905012
1005,660,06905013
1394,964,06905014
838,609,06906001
1066,764,06906002
1033,694,06906003
1563,1091,06906004
1330,950,06906005
948,654,06906006
1684,1230,06906007
1186,841,06906008
629,392,06906009
1002,682,06906010
974,743,06906011
1399,946,06906012
696,486,06906013
1413,1036,06906014
835,572,06906015
1743,1206,06906016
884,656,06906017
1529,1160,06906018
1390,983,06906019
875,632,06906020
1421,1037,06906021
1239,920,06906022
1279,855,06906023
1457,1062,06906024
1791,1184,06906025
1332,980,06906026
707,498,06906027
1136,793,06906028
1154,793,06906029
1180,817,06906030
1481,997,06907001
1358,920,06907002
1089,744,06907003
664,406,06907004
1015,627,06907005
1018,708,06907006
1162,748,06907007
666,431,06907008
585,340,06907009
915,646,06907010
793,510,06907011
716,426,06907012
826,549,06907013
1131,665,06907014
1411,969,06907015
770,475,06907016
1015,627,06907017
1837,1133,06907018
831,526,06907019
1524,937,06907020
534,333,06907021
780,541,06907022
1068,602,06907023
1332,824,06907024
520,312,06907025
634,398,06907026
1710,1105,06907027
926,615,06907028
1148,721,06907030
1546,1079,06907031
757,455,06907032
1675,1121,06907033
842,590,06907034
1092,748,07001001
551,341,07101001
536,307,07101002
834,524,07101003
1236,764,07101004
840,568,07102001
1447,949,07102002
780,450,07102003
925,623,07102004
897,631,07102005
1880,1180,07103001
1065,688,07103002
1565,1035,07103003
1102,677,07104001
1143,729,07104002
949,583,07201001
1055,620,07201002
1571,944,07201003
1153,755,07201004
1667,1111,07301001
861,509,07301002
1556,992,07301003
593,402,07301004
1319,884,07401001
1544,1108,07401002
625,449,07401003
748,494,07401004
1425,1051,07401005
724,506,07402001
632,435,07402002
1868,1229,07402003
1125,731,07403001
779,520,07403002
803,547,07403003
1674,1047,07501001
1301,809,07501002
1396,836,07501003
777,559,07601001
750,477,07601002
971,640,07601003
840,576,07601004
1209,802,07601005
1237,760,07601006
1206,852,07601008
653,444,07701001
1133,788,07701002
901,635,07701003
694,488,07701004
753,497,07701005
1079,762,07701006
1155,850,07801001
1549,1027,07901001
987,653,07901002
988,639,07901003
1255,886,07902001
1424,1028,07902002
1527,991,07902003
1378,849,07902004
1245,813,07902005
1412,920,07902006
1294,816,07902007
1520,994,07902008
1347,849,07902009
1053,763,07902010
907,632,07902011
878,616,08001001
1316,888,08001002
626,423,08001003
604,406,08001004
1949,1296,08001005
1226,842,08001006
517,298,08001007
794,525,08001008
1793,1227,08101001
1269,827,08101002
1704,1105,08101003
999,633,08101004
812,522,08101005
893,542,08101006
1437,908,90101001
1150,818,90201001
1145,792,90201002
1224,864,90201003
1038,693,90201004
563,392,90201005
1208,767,90201006
907,642,90201007
903,617,90201008
1868,1258,90201009
702,465,90201010
1495,1009,90201011
848,555,90201012
1105,792,90201013
1416,935,90301001
1195,724,90301002
1719,1097,90301003
95,44,90401001
145,100,90501001
119,87,90601001
118,85,90701001
5723,2768,999090000
